5.1,1.4,3.5,0.2,Iris-setosa
4.9,1.4,3.0,0.2,Iris-setosa
4.7,1.3,3.2,0.2,Iris-setosa
4.6,1.5,3.1,0.2,Iris-setosa
5.0,1.4,3.6,0.2,Iris-setosa
5.4,1.7,3.9,0.4,Iris-setosa
4.6,1.4,3.4,0.3,Iris-setosa
5.0,1.5,3.4,0.2,Iris-setosa
4.4,1.4,2.9,0.2,Iris-setosa
4.9,1.5,3.1,0.1,Iris-setosa
5.4,1.5,3.7,0.2,Iris-setosa
4.8,1.6,3.4,0.2,Iris-setosa
4.8,1.4,3.0,0.1,Iris-setosa
4.3,1.1,3.0,0.1,Iris-setosa
5.8,1.2,4.0,0.2,Iris-setosa
5.7,1.5,4.4,0.4,Iris-setosa
5.4,1.3,3.9,0.4,Iris-setosa
5.1,1.4,3.5,0.3,Iris-setosa
5.7,1.7,3.8,0.3,Iris-setosa
5.1,1.5,3.8,0.3,Iris-setosa
5.4,1.7,3.4,0.2,Iris-setosa
5.1,1.5,3.7,0.4,Iris-setosa
4.6,1.0,3.6,0.2,Iris-setosa
5.1,1.7,3.3,0.5,Iris-setosa
4.8,1.9,3.4,0.2,Iris-setosa
